"","nLABO","GRID","DoY","HEIGHT","night_hrs","nUwind","nVwind","nWNDsp_mean","nPRES","nPresChange","nRH","nCloud","nTotRain","nMoon"
"3408",3,"32",165,45,7.72027777777778,-0.4501544375,0.1335281375,1.47072588536953,96704.375,-68,92.7502375,80.7507875,11.34,0
"6806",0,"45",241,45,9.83083333333333,0.3576713,1.64902,2.08311179809929,97346,15,93.30011,65.00032,0,34.8953386695118
"353",0,"12",271,85,11.1744444444444,0.7459018,-0.846520818181818,1.59197146843947,96275.5818181818,-604.299999999988,78.2764363636364,0,0,0.535969671343711
"7078",0,"45",302,45,12.4991666666667,1.31755253846154,1.67487007692308,2.22964512969259,96709.7076923077,-90,74.4069923076923,16.0769230769231,0,0.0868573119655937
"7592",0,"51",97,65,10.0761111111111,0.6958184,-0.22231572,1.83273272035074,97442.3,-6,74.79996,19.8,0,0
"5866",0,"42",158,105,7.805,0.744283,-1.675131,1.91894849383032,97139.625,-172,64.3749375,0,0,0.720203531679212
"8387",0,"52",273,65,11.2772222222222,-0.786910354545455,-0.1220598,1.04676406404705,98280.6363636364,-420,74.1819454545455,5.63636363636364,0,73.97332493717
"3832",0,"33",196,85,8.05805555555555,-0.897352075,1.563057625,2.63191364217214,96535.375,238,91.5,98.750075,36,0
"4882",0,"41",303,65,12.5763888888889,-0.0856756307692308,-5.61158,5.6398142112322,97516.3,-700,83.6035615384615,92.1537153846154,0,0
"9537",0,"55",202,85,8.28527777777778,-0.4049336,-0.706395875,0.950558517785905,97798.75,22,85.625125,1.5,0,7.81096872799351
"2713",0,"25",293,65,12.1363888888889,0.0314396666666667,-3.83098166666667,3.94792100886125,97944.1583333333,-490,85.2304583333333,76.91695,5.544,11.9540228748898
"3414",38,"32",171,45,7.69361111111111,0.274454345,-0.849459875,1.03996239766013,96673.5,-193,80.62515,26.50032625,0,5.10909340266526
"1121",0,"22",107,65,9.605,-1.59704607777778,-0.963520777777778,2.03256870615504,96626.4444444444,208,75.2226222222222,93.1113888888889,1.44,0
"6212",24,"43",126,45,8.80527777777778,0.00479044444444445,1.85909666666667,2.0416364709286,97349.8888888889,62,59.5556555555556,0.444444444444444,0,0
"6861",0,"45",296,45,12.27,4.79681333333333,-4.339215,6.57607185211602,96937.5833333333,-714,79.41675,86.3333,0,11.6143479871955
"9251",0,"55",255,65,10.4663888888889,-0.6723565,0.7081837,1.02856908450536,98049.4,154,86.50007,9,0,0
"7680",0,"51",185,65,7.76694444444444,-1.4310165,1.83975625,2.35850969293647,97691.5,172,89.1251375,100,0,0
"3227",0,"31",197,105,8.02,-0.34124685375,-0.4656232875,1.07781962126488,97118.375,-32,85.3750875,20.5,0,49.7098703554394
"8532",0,"52",228,65,9.19333333333333,-0.2060374,0.899688,1.79799107707143,97603.8,-312,89.10015,55,0,38.5297267964112
"1973",0,"24",146,85,8.11722222222222,2.1594525,-0.07809044875,2.17279455015915,96392.125,-221,82.75005,0,0,40.017305133605
"2616",0,"25",187,65,7.9125,1.015648875,-0.970486875,2.61469722164239,96285.125,58,68.0002625,86.5002875,0,0
"1919",0,"23.1",197,65,8.07722222222222,1.564157625,1.153373375,2.11661892397672,95281.375,-97,87.1251125,0,0,0
"6664",6,"44",154,105,7.93694444444444,0.5377312625,3.25430375,3.31056440143799,97440.375,56,58.75015,0,0,0
"7895",0,"51",186,85,7.78694444444444,-1.138678125,3.87990875,5.17334619179967,97228.125,-65,78.1249625,99.2499625,0,0.598629116999903
"8289",0,"52",166,65,7.70527777777778,0.532750875,-0.854718875,1.14580248341,97929.25,-100,86.750175,1,0,0
"3451",14,"32",210,45,8.47722222222222,0.93259825,1.06212175,1.57969360682009,97517.375,-131,79.7503,0,0,97.8380051596769
"9523",0,"55",188,85,7.94055555555556,-0.2227905125,-1.34029375,1.38953507000945,98123.375,24,86.625125,23.75,0,24.2468828173683
"1323",0,"22",70,65,11.355,-1.38585683333333,-1.0202645,1.90546354278877,97197.75,-175,64.7501166666667,16.1666666666667,0,0.894415817972278
"2341",0,"25",130,65,8.67805555555556,6.54635375,-1.19203675,6.68272812910787,96595.125,-162,69.37515,63.2497,0,8.47899963894479
"275",0,"12",193,85,7.95833333333333,0.26014975,-0.2077558,1.65226802984851,95695.375,-487,79.250325,4,0,23.9311726970601
"1155",0,"22",146,65,8.06861111111111,1.440700875,0.5469096375,1.58565476294141,96498.75,-301,86.37505,6.25,0,35.9826674882233
"2038",0,"24",220,85,8.90194444444444,-2.081294,0.139301181111111,2.23187495779625,96118.5555555556,-134,90.7779333333333,67.1116888888889,5.04,4.19950514271825
"2542",0,"25",108,65,9.61333333333333,0.4169832,0.3041558,1.50568882582023,97466.1,64,96.60013,99.40008,21.78,0.0000515162481394684
"5825",0,"42",111,105,9.43333333333333,5.660823,-1.6139621,6.61639025355583,96468.9,133,93.90014,95.59975,4.095,4.36275586282818
"6296",9,"43",236,45,9.56916666666667,-0.16405322,1.0835657,2.27835401142534,96825.62,-500,89.66142,57.29992,33.12,20.5958675979504
"5254",0,"41",277,105,11.4483333333333,-4.20292454545455,5.56397363636364,7.00770772261546,95951.1181818182,200,72.3061272727273,11.5454545454545,0,0.795873584881503
"8582",0,"52",278,65,11.4930555555556,0.516630545454545,0.985124727272727,1.90601969451711,96566.4909090909,-725.700000000012,92.7394090909091,42.4545454545455,27.72,0
"3011",0,"31",142,105,8.16,-1.483665875,1.71241125,2.3254867738002,97312.75,78,73.5000125,99.7502,0,0
"5259",0,"41",282,105,11.6752777777778,-0.83133225,-2.42890916666667,2.64758300902448,97850.9333333333,-314.299999999988,69.971475,4.66666666666667,0,19.9603970407289
"4364",0,"34",305,65,12.635,1.62137407692308,3.24107538461538,3.64522907538112,96682.3076923077,-9,59.2309461538462,38.3077846153846,0,22.3581813963849
"9351",0,"55",212,65,8.61305555555556,-1.27296025,0.46013883,1.64735816684687,97798.625,41,90.3751125,33.25035,2.25,0.675282774912007
"8591",0,"52",287,65,11.895,-0.64758325,2.92658333333333,3.01916503361732,97797.1833333333,318.599999999991,74.3112166666667,26.5833333333333,0,58.2022514393214
"7839",0,"51",130,85,8.59305555555556,6.17135375,0.8704630125,6.31046359958041,97339.5,-173,75.00015,70.2497,0,0.000138486133181582
"7264",0,"45",279,85,11.5461111111111,0.165856325,0.54964195,1.16118555283408,97549,-85,85.8334083333333,42.0000666666667,0,3.50015531899855
"6011",33,"43",142,45,8.21694444444444,-1.57741625,2.134286375,2.68404909786271,97930.5,112,67.1250125,96.000825,0,0.264206231708126
"2652",0,"25",223,65,9.03833333333333,-0.333336311111111,4.98760555555556,5.07303323739034,96457.6666666667,122,75.8890333333333,81.3335444444444,5.04,0.718213522004111
"4923",0,"41",141,105,8.18833333333333,2.066579,0.436719125,2.20383998215082,97414.25,-105,59.37515,1.5,0,6.87834980291266
"6000",3,"43",131,45,8.59833333333333,2.42329875,-0.0502258875,2.44571614957015,97836,-239,78.7501,4,0,14.3072228250152
"706",0,"14",222,85,8.97305555555556,-1.84936966666667,2.65561888888889,3.26306805008077,95867.8888888889,-89,89.2222777777778,0,0,14.9577125006057
"382",0,"12",300,85,12.4422222222222,-0.736869108333333,0.258780166666667,1.16929797831746,97022.3416666667,-100,93.1233,38.1668916666667,0,0.916958323545485
