"","nLABO","GRID","DoY","HEIGHT","night_hrs","nUwind","nVwind","nWNDsp_mean","nPRES","nPresChange","nRH","nCloud","nTotRain","nMoon"
"7606",0,"51",111,65,9.42111111111111,4.760823,-0.7014625,6.22572294310633,97163.5,95,93.00014,93.59975,4.14,6.35573125657208
"7442",0,"45",234,85,9.50861111111111,-0.49870739,2.523087,2.60639044286472,97246.2,-54,72.80018,38.59994,0,34.0673005524486
"8452",0,"52",114,65,9.29583333333333,-1.831385,6.383546,6.66404395126427,96615.2,220,61.40012,74.60004,0.72,19.5507643505027
"3568",0,"32",89,45,10.4630555555556,-3.6285424,6.282528,7.34557709689996,96027.2,746,38.00001,93.20038,0,0.995097748022455
"4953",0,"41",171,105,7.65416666666667,0.1338288625,-1.036959775,1.26841915492366,96525.875,-209,82.25015,33.500325,0,5.16218328040094
"7792",0,"51",297,65,12.3277777777778,0.806563166666667,-1.51070916666667,1.75706671567177,98916.9833333333,-414.399999999994,74.8523416666667,9.75,0,13.7717468827742
"8450",0,"52",112,65,9.38611111111111,1.18031649,-4.01228,4.285841890552,97565.7,-415,86.30005,73.60002,0,26.37031106631
"3587",0,"32",108,45,9.5725,-1.0830175,-2.195843,2.99043547280032,97586.7,110,94.40013,95.40017,6.12,4.00565703431454
"997",0,"21",181,45,7.70944444444444,-0.356288075,0.2455902375,1.27162829980177,96366.25,129,82.3751625,30.0003375,1.44,4.14763089796828
"6857",0,"45",292,45,12.105,-0.490878,3.8873475,3.93059877582835,96798.5,-7,45.833275,21.8333833333333,0,13.8058448258815
"4608",0,"41",247,65,10.0586111111111,-1.33160381111111,4.39680666666667,4.682649183244,96598.3333333333,-202,77.1112,35.7777777777778,1.8,21.9276388730897
"5332",0,"42",265,65,10.9086111111111,-2.65501145454545,0.350336363636364,3.47203631897296,97412.2727272727,-266,81.6365727272727,49.0913,1.755,27.5629563148503
"1419",0,"22",166,65,7.71138888888889,-0.0590285375,1.205161375,1.76622496727083,95819.625,-73,76.750175,2.25,0,55.4308359036985
